funder_name	funding_context_from_paper	recipient	grant_number	source_url	following	V	PI	grants	Union.	ID
University of California San Francisco Alzheimer's Disease Research Center	Data collection and sharing for this project was supported by the National Institute on Aging (NIA) Dominantly Inherited Alzheimer Network (U19AG032438), University of California San Francisco Alzheimer's Disease Research Center (P30 AG062422, R01-AG045611, R35-AG072362, P01-AG019724 and K99AG065501), National Institute of Neurological Disorders and Stroke (NINDS) (R01-NS050915), Alzheimer's Association (ZEN-21-848216, SG-20-690363-DIAN), the German Center for Neurodegenerative Diseases (DZNE) and Raul Carrea Institute for Neurological Research (FLENI) and partial support by the Research and Development Grants for Dementia from Japan Agency for Medical Research and Development and the Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI), Spanish Institute of Health Carlos III (ISCIII), Canadian Institutes of Health Research (CIHR), Canadian Consortium of Neurodegeneration and Aging, Brain Canada Foundation and Fonds de Recherche du Québec—Santé.		R01-AG045611	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10629466/						
University of California San Francisco Alzheimer's Disease Research Center	Data collection and sharing for this project was supported by the National Institute on Aging (NIA) Dominantly Inherited Alzheimer Network (U19AG032438), University of California San Francisco Alzheimer's Disease Research Center (P30 AG062422, R01-AG045611, R35-AG072362, P01-AG019724 and K99AG065501), National Institute of Neurological Disorders and Stroke (NINDS) (R01-NS050915), Alzheimer's Association (ZEN-21-848216, SG-20-690363-DIAN), the German Center for Neurodegenerative Diseases (DZNE) and Raul Carrea Institute for Neurological Research (FLENI) and partial support by the Research and Development Grants for Dementia from Japan Agency for Medical Research and Development and the Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI), Spanish Institute of Health Carlos III (ISCIII), Canadian Institutes of Health Research (CIHR), Canadian Consortium of Neurodegeneration and Aging, Brain Canada Foundation and Fonds de Recherche du Québec—Santé.		R35-AG072362	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10629466/						
University of California San Francisco Alzheimer's Disease Research Center	Data collection and sharing for this project was supported by the National Institute on Aging (NIA) Dominantly Inherited Alzheimer Network (U19AG032438), University of California San Francisco Alzheimer's Disease Research Center (P30 AG062422, R01-AG045611, R35-AG072362, P01-AG019724 and K99AG065501), National Institute of Neurological Disorders and Stroke (NINDS) (R01-NS050915), Alzheimer's Association (ZEN-21-848216, SG-20-690363-DIAN), the German Center for Neurodegenerative Diseases (DZNE) and Raul Carrea Institute for Neurological Research (FLENI) and partial support by the Research and Development Grants for Dementia from Japan Agency for Medical Research and Development and the Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI), Spanish Institute of Health Carlos III (ISCIII), Canadian Institutes of Health Research (CIHR), Canadian Consortium of Neurodegeneration and Aging, Brain Canada Foundation and Fonds de Recherche du Québec—Santé.		P01-AG019724	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10629466/						
University of California San Francisco Alzheimer's Disease Research Center	Data collection and sharing for this project was supported by the National Institute on Aging (NIA) Dominantly Inherited Alzheimer Network (U19AG032438), University of California San Francisco Alzheimer's Disease Research Center (P30 AG062422, R01-AG045611, R35-AG072362, P01-AG019724 and K99AG065501), National Institute of Neurological Disorders and Stroke (NINDS) (R01-NS050915), Alzheimer's Association (ZEN-21-848216, SG-20-690363-DIAN), the German Center for Neurodegenerative Diseases (DZNE) and Raul Carrea Institute for Neurological Research (FLENI) and partial support by the Research and Development Grants for Dementia from Japan Agency for Medical Research and Development and the Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI), Spanish Institute of Health Carlos III (ISCIII), Canadian Institutes of Health Research (CIHR), Canadian Consortium of Neurodegeneration and Aging, Brain Canada Foundation and Fonds de Recherche du Québec—Santé.		K99AG065501	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10629466/						
National Institute of Neurological Disorders and Stroke (NINDS)	Data collection and sharing for this project was supported by the National Institute on Aging (NIA) Dominantly Inherited Alzheimer Network (U19AG032438), University of California San Francisco Alzheimer's Disease Research Center (P30 AG062422, R01-AG045611, R35-AG072362, P01-AG019724 and K99AG065501), National Institute of Neurological Disorders and Stroke (		R01-NS050915	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10629466/						
Department of Defense	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA.	K.N.	W81XWH2110437	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Alzheimer's Association	I.I.-G. is supported with funding from Alzheimer's Association (USA) (AACSF-21-850193)... A.S. is supported by... Alzheimer's Association (SG-20-725707)... H.U. is supported by the Alzheimer's Association (AACSF-22-849085).		AACSF-21-850193	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Alzheimer's Association	I.I.-G. is supported with funding from Alzheimer's Association (USA) (AACSF-21-850193)... A.S. is supported by... Alzheimer's Association (SG-20-725707)... H.U. is supported by the Alzheimer's Association (AACSF-22-849085).		SG-20-725707	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Alzheimer's Association	I.I.-G. is supported with funding from Alzheimer's Association (USA) (AACSF-21-850193)... A.S. is supported by... Alzheimer's Association (SG-20-725707)... H.U. is supported by the Alzheimer's Association (AACSF-22-849085).		AACSF-22-849085	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG062588	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG057234	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		P30AG062422	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG075775	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG21051	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG080469	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG083840	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG068183	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG056466	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG067428	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute on Aging (NIA)	K.N. is supported by Department of Defense (W81XWH2110437), Alzheimer's Association, and National Institutes of Health's National Institute on Aging (NIH/NIA) USA... J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... A.S. is supported by... NIH/NIA (R01AG057234; R01AG075775, R01AG21051)... B.L.T. is supported by NIH/NIA (R01AG080469, R01AG083840)... G.B. is supported by NIH/NIA (R01AG068183, R01AG056466, R01AG067428, R01AG074302)		R01AG074302	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
ZonMW	S.F. is supported by ZonMW (#73305095007) and Health Holland, Topsector Life Sciences & Health (the Netherlands) (PPP-allowance; #LSHM20106).	S.F.	73305095007	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Health Holland, Topsector Life Sciences & Health	S.F. is supported by ZonMW (#73305095007) and Health Holland, Topsector Life Sciences & Health (the Netherlands) (PPP-allowance; #LSHM20106).	S.F.	LSHM20106	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Instituto de Salud Carlos III (ISCIII)	I.I.-G. is supported with funding from Alzheimer's Association (USA) (AACSF-21-850193), and the Instituto de Salud Carlos III (Spain) (JR20/0018 and PI21/00791).	I.I.-G.	JR20/0018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Instituto de Salud Carlos III (ISCIII)	I.I.-G. is supported with funding from Alzheimer's Association (USA) (AACSF-21-850193), and the Instituto de Salud Carlos III (Spain) (JR20/0018 and PI21/00791).	I.I.-G.	PI21/00791	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Health Resources and Service Administration	D.M. receives funding from NIH/NIA and Health Resources and Service Administration (HRSA).	D.M.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institute of Neurological Disorders and Stroke (NINDS)	J.S.Y. is supported by NIH/NIA R01AG062588, R01AG057234, P30AG062422; NIH/National Institute of Neurological Disorders and Stroke (NINDS) U54NS123985	J.S.Y.	U54NS123985	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Rainwater Charitable Foundation	J.S.Y. is supported by... the Rainwater Charitable Foundation (USA)... J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium... A.S. is supported by... Rainwater Charitable Foundation's Tau Consortium			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Global Brain Health Institute	J.S.Y. is supported by... the Global Brain Health Institute (GBHI) (USA)... A.S. is supported by... GBHI			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Mary Oakley Foundation	J.S.Y. is supported by... the Mary Oakley Foundation (USA).	J.S.Y.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institutes of Health (NIH)	J.A-U. is supported by the Rainwater Charitable Foundation's Tau consortium, NIH/NIA (R01AG057234; R01AG075775, R01AG21051) and NIH/Center for Alzheimer's and Related Dementies (CARD) (USA).	J.A-U.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
IDEX Fellowship	R.B. is supported by the IDEX Fellowship (USA).	R.B.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institutes of Health (NIH)	N.G. is supported by NIH (U01AG045390, U54NS092089, U19AG063911), the Rainwater Charitable Foundation's Tau Consortium (USA), and AFTD.	N.G.	U01AG045390	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institutes of Health (NIH)	N.G. is supported by NIH (U01AG045390, U54NS092089, U19AG063911), the Rainwater Charitable Foundation's Tau Consortium (USA), and AFTD.	N.G.	U54NS092089	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Institutes of Health (NIH)	N.G. is supported by NIH (U01AG045390, U54NS092089, U19AG063911), the Rainwater Charitable Foundation's Tau Consortium (USA), and AFTD.	N.G.	U19AG063911	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
National Health and Medical Research Council (NHMRC)	F.K is supported by the National Health and Medical Research Council Career Development Fellowship (Australia) GNT1158762.	F.K	GNT1158762	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Velux foundation	T.R.N. is supported by the Velux foundation.	T.R.N.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Agencia Nacional de Investigación y Desarrollo	A.S. is supported by the Agencia Nacional de Investigación y Desarollo (ANID) / FONDAP ID15150012; AN		ID15150012	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
Agencia Nacional de Investigación y Desarrollo	A.S. is supported by the Agencia Nacional de Investigación y Desarollo (ANID) / FONDAP ID15150012; AN		1231839	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11667558/						
ALLFTD study	The authors thank the ALLFTD study, and all the other researchers of the included papers, for providing their dataset for the purpose of this study.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12096942/						
Innovative Medicines Initiative 2 Joint Undertaking	The project leading to this paper has received funding from the Innovative Medicines Initiative 2 Joint Undertaking under grant agreement No 115952. This Joint Undertaking receives the support from the European Union's Horizon 2020 research and innovation programme and EFPIA.		115952	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12722600/						
Alzheimer's Disease Data Initiative	This work was supported by the Alzheimer's Disease Data Initiative (ADDI).			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12722600/						
National Institutes of Health (NIH)	Data collection and sharing for this project was funded by the Alzheimer's Disease Neuroimaging Initiative (ADNI; National Institutes of Health Grant U01 AG024904) and DOD ADNI (Department of Defense award number W81XWH-12-2-0012).	Alzheimer's Disease Neuroimaging Initiative (ADNI)	U01AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Department of Defense	Data collection and sharing for this project was funded by the Alzheimer's Disease Neuroimaging Initiative (ADNI; National Institutes of Health Grant U01 AG024904) and DOD ADNI (Department of Defense award number W81XWH-12-2-0012).	ADNI	W81XWH-12-2-0012	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Shanghai Baiyulan Pujiang Project	SC was funded by Shanghai Baiyulan Pujiang Project (No. 24PJD087).	SC	24PJD087	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
National Natural Science Foundation of China	"YQ was funded by the National Natural Science Foundation of China (No. 12401347), Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project (Nos. 23JS1400500 and 23JS1400800), Chinese MOE Foundation on Humanities and Social Sciences (No. 23YJC910006), and the Natural Science Foundation of Shanghai (No. 24ZR1420400)."	YQ	12401347	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
"Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project"	"YQ was funded by the National Natural Science Foundation of China (No. 12401347), Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project (Nos. 23JS1400500 and 23JS1400800), Chinese MOE Foundation on Humanities and Social Sciences (No. 23YJC910006), and the Natural Science Foundation of Shanghai (No. 24ZR1420400)."	YQ	23JS1400500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
"Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project"	"YQ was funded by the National Natural Science Foundation of China (No. 12401347), Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project (Nos. 23JS1400500 and 23JS1400800), Chinese MOE Foundation on Humanities and Social Sciences (No. 23YJC910006), and the Natural Science Foundation of Shanghai (No. 24ZR1420400)."	YQ	23JS1400800	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Chinese MOE Foundation on Humanities and Social Sciences	"YQ was funded by the National Natural Science Foundation of China (No. 12401347), Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project (Nos. 23JS1400500 and 23JS1400800), Chinese MOE Foundation on Humanities and Social Sciences (No. 23YJC910006), and the Natural Science Foundation of Shanghai (No. 24ZR1420400)."	YQ	23YJC910006	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Natural Science Foundation of Shanghai	"YQ was funded by the National Natural Science Foundation of China (No. 12401347), Shanghai ""Science and Technology Innovation Action Plan"" Computational Biology Key Project (Nos. 23JS1400500 and 23JS1400800), Chinese MOE Foundation on Humanities and Social Sciences (No. 23YJC910006), and the Natural Science Foundation of Shanghai (No. 24ZR1420400)."	YQ	24ZR1420400	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	MWB was funded by NIH/NIA (Nos. R01AG082073, R01AG079280, and P30AG062429).	MWB	R01AG082073	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	MWB was funded by NIH/NIA (Nos. R01AG082073, R01AG079280, and P30AG062429).	MWB	R01AG079280	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	MWB was funded by NIH/NIA (Nos. R01AG082073, R01AG079280, and P30AG062429).	MWB	P30AG062429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	HHF was funded by NIH/NIA (Nos. U19AG079774-01, R01AG061146, P30AG062429, R01AG076634-01, CIHR 137794), and the Epstein Family Alzheimer's Research Collaboration; reports service agreements with LuMind Foundation, Novo Nordisk Inc., Axon Neuroscience, Arrowhead Pharmaceuticals, and Biosplice Therapeutics Inc.; travel support from Novo Nordisk Inc., Royal Society of Canada, Translating Research for Elder Care, Association for Frontotemporal Dementia, and Rainwater Charitable Foundation; service on a DMC for Roche/Genentech Pharmaceuticals and Janssen Research & Development LLC; and service on the Tau Consortium SAB.	HHF	U19AG079774-01	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	HHF was funded by NIH/NIA (Nos. U19AG079774-01, R01AG061146, P30AG062429, R01AG076634-01, CIHR 137794), and the Epstein Family Alzheimer's Research Collaboration; reports service agreements with LuMind Foundation, Novo Nordisk Inc., Axon Neuroscience, Arrowhead Pharmaceuticals, and Biosplice Therapeutics Inc.; travel support from Novo Nordisk Inc., Royal Society of Canada, Translating Research for Elder Care, Association for Frontotemporal Dementia, and Rainwater Charitable Foundation; service on a DMC for Roche/Genentech Pharmaceuticals and Janssen Research & Development LLC; and service on the Tau Consortium SAB.	HHF	R01AG061146	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	HHF was funded by NIH/NIA (Nos. U19AG079774-01, R01AG061146, P30AG062429, R01AG076634-01, CIHR 137794), and the Epstein Family Alzheimer's Research Collaboration; reports service agreements with LuMind Foundation, Novo Nordisk Inc., Axon Neuroscience, Arrowhead Pharmaceuticals, and Biosplice Therapeutics Inc.; travel support from Novo Nordisk Inc., Royal Society of Canada, Translating Research for Elder Care, Association for Frontotemporal Dementia, and Rainwater Charitable Foundation; service on a DMC for Roche/Genentech Pharmaceuticals and Janssen Research & Development LLC; and service on the Tau Consortium SAB.	HHF	P30AG062429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	HHF was funded by NIH/NIA (Nos. U19AG079774-01, R01AG061146, P30AG062429, R01AG076634-01, CIHR 137794), and the Epstein Family Alzheimer's Research Collaboration; reports service agreements with LuMind Foundation, Novo Nordisk Inc., Axon Neuroscience, Arrowhead Pharmaceuticals, and Biosplice Therapeutics Inc.; travel support from Novo Nordisk Inc., Royal Society of Canada, Translating Research for Elder Care, Association for Frontotemporal Dementia, and Rainwater Charitable Foundation; service on a DMC for Roche/Genentech Pharmaceuticals and Janssen Research & Development LLC; and service on the Tau Consortium SAB.	HHF	R01AG076634-01	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Canadian Institutes of Health Research	HHF was funded by NIH/NIA (Nos. U19AG079774-01, R01AG061146, P30AG062429, R01AG076634-01, CIHR 137794), and the Epstein Family Alzheimer's Research Collaboration; reports service agreements with LuMind Foundation, Novo Nordisk Inc., Axon Neuroscience, Arrowhead Pharmaceuticals, and Biosplice Therapeutics Inc.; travel support from Novo Nordisk Inc., Royal Society of Canada, Translating Research for Elder Care, Association for Frontotemporal Dementia, and Rainwater Charitable Foundation; service on a DMC for Roche/Genentech Pharmaceuticals and Janssen Research & Development LLC; and service on the Tau Consortium SAB.	HHF	137794	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Epstein Family Alzheimer's Research Collaboration	HHF was funded by NIH/NIA (Nos. U19AG079774-01, R01AG061146, P30AG062429, R01AG076634-01, CIHR 137794), and the Epstein Family Alzheimer's Research Collaboration; reports service agreements with LuMind Foundation, Novo Nordisk Inc., Axon Neuroscience, Arrowhead Pharmaceuticals, and Biosplice Therapeutics Inc.; travel support from Novo Nordisk Inc., Royal Society of Canada, Translating Research for Elder Care, Association for Frontotemporal Dementia, and Rainwater Charitable Foundation; service on a DMC for Roche/Genentech Pharmaceuticals and Janssen Research & Development LLC; and service on the Tau Consortium SAB.	HHF		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	DMJ was funded by NIH/NIA R01AG064002, P30AG062429, R01AG076634, and the Epstein Family Alzheimer's Research Collaboration.	DMJ	R01AG064002	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	DMJ was funded by NIH/NIA R01AG064002, P30AG062429, R01AG076634, and the Epstein Family Alzheimer's Research Collaboration.	DMJ	P30AG062429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
NIH/NIA	DMJ was funded by NIH/NIA R01AG064002, P30AG062429, R01AG076634, and the Epstein Family Alzheimer's Research Collaboration.	DMJ	R01AG076634	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
Epstein Family Alzheimer's Research Collaboration	DMJ was funded by NIH/NIA R01AG064002, P30AG062429, R01AG076634, and the Epstein Family Alzheimer's Research Collaboration.	DMJ		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13452662/						
National Institute for Health and Care Research (NIHR)	This study was a independent research funded by the National Institute for Health and Care Research (NIHR) Artificial Intelligence for Multiple Long-Term Conditions (AIM) 'Multidisciplinary Ecosystem to study Lifecourse Determinants and Prevention of Early-onset Burdensome Multimorbidity (MELD-B)' (reference number NIHR203988).		NIHR203988	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12529252/						
National Institute on Aging (NIA)	Data collection and sharing for this project was supported by The Dominantly Inherited Alzheimer Network (DIAN, U19AG032438) funded by the National Institute on Aging (NIA)	The Dominantly Inherited Alzheimer Network (DIAN)	U19AG032438	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12781868/						
Alzheimer's Association	Data collection and sharing for this project was supported by The Dominantly Inherited Alzheimer Network (DIAN, U19AG032438) funded by the National Institute on Aging (NIA), the Alzheimer's Association (SG-20-690363-DIAN)	The Dominantly Inherited Alzheimer Network (DIAN)	SG-20-690363-DIAN	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12781868/						
German Center for Neurodegenerative Diseases	Data collection and sharing for this project was supported by The Dominantly Inherited Alzheimer Network (DIAN, U19AG032438) funded by the National Institute on Aging (NIA), the Alzheimer's Association (SG-20-690363-DIAN), the German Center for Neurodegenerative Diseases (DZNE)			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12781868/						
Raul Carrea Institute for Neurological Research	Data collection and sharing for this project was supported by The Dominantly Inherited Alzheimer Network (DIAN, U19AG032438) funded by the National Institute on Aging (NIA), the Alzheimer's Association (SG-20-690363-DIAN), the German Center for Neurodegenerative Diseases (DZNE), Raul Carrea Institute for Neurological Research (FLENI)			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12781868/						
